year,name,category,description,url,num_projects,projects_url,contact_email,mailing_list,irc_channel,twitter_url,blog_url,topics,technologies
2020,52° North GmbH,Science and medicine,52°North works on innovative ideas and technologies in geoinformatics,https://52north.org,3,https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/,mailto:gsoc@52north.org,https://wiki.52north.org/Projects/GSoC#Contact,https://wiki.52north.org/Projects/GSoC#Contact,https://twitter.com/fivetwon?lang=en,https://blog.52north.org/,"web services, floating car data, ogc standards, trajectory analytics","python, javascript, android, java, react"
2020,AboutCode.org,Programming languages,"Find the origin, license and vulnerabilities of your code and deps.",https://www.aboutcode.org,5,https://summerofcode.withgoogle.com/archive/2020/organizations/6689005560659968/,mailto:pombredanne@nexb.com,,https://gitter.im/aboutcode-org/discuss,,http://aboutcode.readthedocs.io/,"machine learning, software analysis, application security, license-scan, dependencies","python, postgresql, javascript, c/c++, rust"
2020,Academy Software Foundation (ASWF),Media,Open source foundation for film industry projects.,http://aswf.io,3,https://summerofcode.withgoogle.com/archive/2020/organizations/6043464124334080/,mailto:gsoc@lists.aswf.io,https://lists.aswf.io/,,,,"cloud computing, 2d/3d graphics, filmmaking, file formats, color management","python, c/c++"
2020,Accord Project,Programming languages,Linux Foundation’s open source project for smart legal contracts.,https://www.accordproject.org/,2,https://summerofcode.withgoogle.com/archive/2020/organizations/5947521500708864/,mailto:admin@accordproject.org,,https://accord-project-slack-signup.herokuapp.com/,https://twitter.com/accordhq,https://www.accordproject.org/news,"compilers, ai, legal, smart contracts, blockchain","javascript, react, compiler, ocaml, coq"
2020,AerospaceResearch.net,Science and medicine,making space together,http://www.aerospaceresearch.net,5,https://summerofcode.withgoogle.com/archive/2020/organizations/5720999993016320/,mailto:gsoc2020@aerospaceresearch.net,https://lists.shackspace.de/mailman/listinfo/constellation,https://aerospaceresearch.zulipchat.com/,https://twitter.com/ARDNnews,http://aerospaceresearch.net,"distributed computing, space applications, software defined radio, cubesats, simulations","python, c++, vhdl, sqlite, raspberry pi"
2020,afl++,Security,Making fuzzing more effective every day,https://aflplus.plus/,2,https://summerofcode.withgoogle.com/archive/2020/organizations/6438212253253632/,mailto:gsoc@aflplus.plus,https://groups.google.com/forum/#!forum/afl-users,,https://twitter.com/hackerschoice,,"bug finding, fuzzing, software testing","c/c++, llvm, fuzzing, qemu, sanitizers"
2020,Amahi,Operating systems,Making Home Networking and Storage Simple,https://www.amahi.org,3,https://summerofcode.withgoogle.com/archive/2020/organizations/5480514170912768/,mailto:gsoc@amahi.org,,https://wiki.amahi.org/index.php/IRC_Rules_and_Tips#IRC_Channels,https://twitter.com/amahi,https://blog.amahi.org,"operating systems, networking, streaming, web servers, mobile-apps","javascript, android, ruby on rails, golang, swift"
2020,Android Graphics Tools Team,Programming languages,Providing excellent tools for graphics developers and driver makers,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2020.md,3,https://summerofcode.withgoogle.com/archive/2020/organizations/5158050039595008/,mailto:android-graphics-tools@google.com,,,,,"bug finding, developer tools, debugging, 2d/3d graphics, profiling","c/c++, java, opengl, vulkan, python 3"
2020,AnitaB.org Open Source,Other,Women transform technology. Technology transforms the world.,http://anitab.org,4,https://summerofcode.withgoogle.com/archive/2020/organizations/5270382996619264/,,,http://anitab-org.zulipchat.com/,https://twitter.com/anitab_org,,"web, mobile programming, mobile, web programming","python, javascript, android, ios"
2020,AOSSIE,End user applications,Australian Umbrella Org for Open-Source Projects,https://aossie.gitlab.io/,9,https://summerofcode.withgoogle.com/archive/2020/organizations/5037209255673856/,,,https://gitter.im/aossie/home,https://twitter.com/aossie_org,,"machine learning, environment, electronic voting, natural language processing, social science","python, javascript, swift, kotlin"
