year,name,category,description,url,num_projects,projects_url,contact_email,mailing_list,irc_channel,twitter_url,blog_url,topics,technologies
2021,52°North GmbH,Science and medicine,52°North works on innovative ideas and technologies in geoinformatics,https://52north.org/,3,https://summerofcode.withgoogle.com/archive/2021/organizations/5129526253715456/,mailto:gsoc@52north.org,https://wiki.52north.org/Projects/GSoC#Contact,https://wiki.52north.org/Projects/GSoC#Contact,https://twitter.com/fivetwon?lang=en,https://blog.52north.org/,"citizen science, spatial information infrastructures, open standards, geoinformation systems","python, javascript, java, web services, ogc standards"
2021,AboutCode,Other,AboutCode is a suite of tools to uncover data ... about software and code:,https://www.aboutcode.org,4,https://summerofcode.withgoogle.com/archive/2021/organizations/5677990456852480/,mailto:sesser@nexb.com,http://AboutCode@groups.io,https://gitter.im/aboutcode-org/discuss,,http://www.aboutcode.org,"software composition analysis, software packages, scanning","python, javascript, django, postgres"
2021,Accord Project,Programming languages,Linux Foundation’s open source project for smart legal contracts.,https://www.accordproject.org/,3,https://summerofcode.withgoogle.com/archive/2021/organizations/4826533859950592/,mailto:admin@accordproject.org,,https://accord-project-slack-signup.herokuapp.com/,https://twitter.com/accordhq,https://accordproject.org/news,"compilers, ai, legal, smart contracts, blockchain","javascript, react, compiler, ocaml, coq"
2021,AerospaceResearch.net,Science and medicine,making space together,http://aerospaceresearch.net/,6,https://summerofcode.withgoogle.com/archive/2021/organizations/4866654592303104/,mailto:gsoc2021@aerospaceresearch.net,,https://aerospaceresearch.zulipchat.com/,https://twitter.com/ardnnews,http://aerospaceresearch.net,"space applications, signal processing, software defined radio, cubesats, simulations","python, machine learning, sdr, sqlite, raspberry pi"
2021,AFLplusplus,Security,Fuzzing for the future,https://aflplus.plus,2,https://summerofcode.withgoogle.com/archive/2021/organizations/5090910303420416/,mailto:afl@aflplus.plus,https://groups.google.com/d/forum/afl-users,https://github.com/AFLplusplus/AFLplusplus/issues/783,https://twitter.com/hackerschoice,,"fuzzing, secure development, instrumentation","c/c++, llvm, rust, fuzzing, instrumentation"
2021,Android Graphics Tools Team,Programming languages,Providing excellent tools for graphics developers and driver makers,https://github.com/google/graphicsfuzz/blob/master/docs/summer-of-code-ideas/2021.md,3,https://summerofcode.withgoogle.com/archive/2021/organizations/5995132419047424/,mailto:android-graphics-tools@google.com,,,,,"bug finding, developer tools, graphics, fuzzing","java, opengl, c++, spir-v, webgpu"
2021,AnkiDroid,End user applications,makes remembering things easy,https://docs.ankidroid.org/,2,https://summerofcode.withgoogle.com/archive/2021/organizations/5687189203058688/,,https://groups.google.com/forum/#!forum/anki-android,https://discord.gg/JXaqQDp,http://twitter.com/ankidroid,,"education, android, user generated content, flashcard","javascript, android, java, gradle"
2021,AOSSIE,End user applications,Australian Umbrella Org for Open-Source Projects,https://aossie.gitlab.io/,11,https://summerofcode.withgoogle.com/archive/2021/organizations/5135086290206720/,,,https://gitter.im/aossie/home,https://twitter.com/aossie_org,,"machine learning, electronic voting, natural language processing, social science","javascript, android, machine learning, scala, ios"
2021,Apertium,Other,A free/open-source machine translation platform,http://wiki.apertium.org,10,https://summerofcode.withgoogle.com/archive/2021/organizations/5702681049432064/,mailto:apertium-contact@lists.sourceforge.net,https://lists.sourceforge.net/lists/listinfo/apertium-stuff,http://wiki.apertium.org/wiki/IRC,,,"natural language processing, machine translation, less-resourced languages","python, javascript, c++, xml, bash"
2021,apertus° Association,Media,Open Technology for Professional Film Production,https://www.apertus.org,5,https://summerofcode.withgoogle.com/archive/2021/organizations/5659873647263744/,mailto:team@apertus.org,https://www.apertus.org/mailinglists,https://www.apertus.org/irc-chat,https://twitter.com/ApertusOSCinema,,"computer vision, camera, image processing, computational photography, digital imaging","linux, c/c++, fpga, vhdl, embedded"
