year,name,category,description,url,num_projects,projects_url,contact_email,mailing_list,irc_channel,twitter_url,blog_url,topics,technologies
2023,GeomScale,Science and medicine,Scalable geometric and statistical software,https://geomscale.github.io,3,https://summerofcode.withgoogle.com/programs/2023/organizations/geomscale,mailto:geomscale@gmail.com,https://groups.google.com/g/geomscale-gsoc,https://gitter.im/GeomScale/community?utm_source=share-link&utm_medium=link&utm_campaign=share-link,https://mobile.twitter.com/GeomScale,,"mathematics, data science, computational biology, computational geometry, statistics","python, c++, r, jupyter, github-actions"
2023,FreeCAD,End user applications,Cross-platform 3D parametric modeler,https://freecad.org,4,https://summerofcode.withgoogle.com/programs/2023/organizations/freecad,,https://forum.freecad.org,https://web.libera.chat/#freecad,https://twitter.com/freecadnews,https://blog.freecad.org/,"engineering, graphics, cad, architecture, CAM","python, c++, qt, OpenCASCADE, OpenInventor"
2023,Open Genome Informatics,Science and medicine,Open access genomics and bioinformatics projects,http://gmod.org/wiki/GSoC,1,https://summerofcode.withgoogle.com/programs/2023/organizations/open-genome-informatics,mailto: help@gmod.org,http://groups.google.com/group/genome-informatics,,https://twitter.com/gmodproject,http://gmod.org/wiki/GMOD_News,"genomics, bioinformatics, cloud, biology, data discovery","python, react, r-project, graph, angular"
2023,libssh,Programming languages,The SSH library,https://www.libssh.org/,2,https://summerofcode.withgoogle.com/programs/2023/organizations/libssh,,https://www.libssh.org/communication/,https://matrix.to/#/!yBkUIMByeIPFgUzcVM:matrix.org?via=matrix.org,,,"security, cryptography","c, ci, ssh"
2023,GNOME Foundation,Operating systems,A diverse and sustainable free software desktop.,https://gnome.org,9,https://summerofcode.withgoogle.com/programs/2023/organizations/gnome-foundation,,https://discourse.gnome.org/,https://wiki.gnome.org/GettingInTouch/IRC,https://twitter.com/gnome,https://foundation.gnome.org/news/,"operating systems, desktop, graphics, open source, apps","c, linux, rust, gtk, Flatpak"
2023,Mantis,Data,Stream Processing for Operational Analytics,https://netflix.github.io/mantis/,2,https://summerofcode.withgoogle.com/programs/2023/organizations/mantis,,https://groups.google.com/forum/#!forum/mantis-oss-dev,https://discord.gg/bKvxTn4jRv,https://twitter.com/mantisio2,,"cloud, distributed systems, Operational Analytics","java, Rxjava, Akka, Netty"
2023,JdeRobot,Other,Toolkit for developing Robotics applications,http://jderobot.github.io,4,https://summerofcode.withgoogle.com/programs/2023/organizations/jderobot,mailto:jderobot@gmail.com,https://gsyc.urjc.es/cgi-bin/mailman/listinfo/jde-developers,,https://twitter.com/JdeRobot,,"education, artificial intelligence, robotics, computer vision, developer tools","python, ros, gazebo, opencv, tensorflow"
2023,The Tor Project,Web,Defend yourself against tracking and surveillance.,https://www.torproject.org/,4,https://summerofcode.withgoogle.com/programs/2023/organizations/the-tor-project,mailto:gsoc@torproject.org,https://forum.torproject.net/,https://support.torproject.org/get-in-touch/#irc-help,https://twitter.com/torproject/,https://blog.torproject.org/,"security, privacy, anti-censorship, Human Rights, Surveillance","c, python, web, rust"
2023,Eclipse Foundation,Programming languages,The Global Open Source Foundation,https://www.eclipse.org/,6,https://summerofcode.withgoogle.com/programs/2023/organizations/eclipse-foundation,mailto:emo@eclipse-foundation.org,https://dev.eclipse.org/mailman/listinfo/soc-dev,,https://twitter.com/EclipseFdn,,"robotics, automotive, tools, cloud native java, iot & edge","java, che, deeplearning, eclipsejavaide, jakartaee"
2023,PostgreSQL,Data,The Most Advanced Open Source Relational Database,https://postgresql.org,12,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql,,pgsql-hackers@lists.postgresql.org,https://postgres-slack.herokuapp.com/,,,"web, database, ui, sql, Benchmark","c, python, postgresql, javascript, sql"
