year,name,category,description,url,num_projects,projects_url,contact_email,mailing_list,irc_channel,twitter_url,blog_url,topics,technologies
2025,JdeRobot,Other,Toolkit for developing Robotics applications,http://jderobot.github.io,7,https://summerofcode.withgoogle.com/programs/2025/organizations/jderobot,mailto:jderobot@gmail.com,https://gsyc.urjc.es/cgi-bin/mailman/listinfo/jde-developers,,https://twitter.com/JdeRobot,,"education, artificial intelligence, robotics, computer vision, developer tools","python, ros, gazebo, opencv, tensorflow"
2025,GNOME Foundation,Operating systems,A diverse and sustainable free software desktop.,https://gnome.org,5,https://summerofcode.withgoogle.com/programs/2025/organizations/gnome-foundation,,https://discourse.gnome.org/,https://handbook.gnome.org/get-in-touch.html,https://floss.social/@gnome,https://foundation.gnome.org/news/,"operating systems, desktop, graphics, open source, apps","c, linux, rust, gtk, Flatpak"
2025,"Unicode, Inc.",Programming languages,Bringing internationalization to software!,https://home.unicode.org,6,https://summerofcode.withgoogle.com/programs/2025/organizations/unicode-inc,mailto:GSOC@unicode.org,,https://unicode-org.slack.com,https://twitter.com/unicode,,"compilers, linguistics, languages, internationalization","java, c++, rust, unicode"
2025,GNU Compiler Collection (GCC),Programming languages,GNU compilers,https://gcc.gnu.org/,6,https://summerofcode.withgoogle.com/programs/2025/organizations/gnu-compiler-collection-gcc,,https://gcc.gnu.org/mailman/listinfo/gcc,https://gcc-rust.zulipchat.com/login/,https://twitter.com/gnutools,,"compilers, developer tools, toolchain, openmp, link time optimization","c/c++, gnu make, gnu autotools"
2025,Neuroinformatics Unit,Science and medicine,Open-source tools for neuroscience and ML,https://neuroinformatics.dev,2,https://summerofcode.withgoogle.com/programs/2025/organizations/neuroinformatics-unit,mailto:code@adamltyson.com,,https://neuroinformatics.zulipchat.com,https://x.com/swc_niu,,"visualization, neuroscience, data-science, Computer-Vision, neuroanatomy","python, numpy, pytorch, Scipy, napari"
2025,Open Climate Fix,Science and medicine,Using Computers to Fix Climate Change,https://www.openclimatefix.org,6,https://summerofcode.withgoogle.com/programs/2025/organizations/open-climate-fix,mailto:emily@openclimatfix.org,,,https://twitter.com/OpenClimateFix,,"Forecasting, Climate, renewables","python, pytorch"
2025,Blender Foundation,End user applications,The Freedom to Create,https://www.blender.org,8,https://summerofcode.withgoogle.com/programs/2025/organizations/blender-foundation,,https://devtalk.blender.org/c/contributing-to-blender/summer-of-code/15,https://blender.chat/channel/gsoc-2025,,https://devtalk.blender.org/c/contributing-to-blender/summer-of-code/15,"games, graphics, 3d, rendering, animation","c, python, opengl, c++, vulkan"
2025,Data for the Common Good,Web,Connect. Share. Discover.,https://commons.cri.uchicago.edu,4,https://summerofcode.withgoogle.com/programs/2025/organizations/data-for-the-common-good,mailto:lgraglia@uchicago.edu,,,https://twitter.com/PedsDataCommons,,"web, health, data, infrastructure, software","python, javascript, kubernetes, reactjs, terraform"
2025,Open Transit Software Foundation,End user applications,Help make public transit better,https://opentransitsoftwarefoundation.org,4,https://summerofcode.withgoogle.com/programs/2025/organizations/open-transit-software-foundation,,,https://join.slack.com/t/onebusaway/shared_invite/zt-2jve26vs6-~qXjgxv_HkTliUKhAnuSDA,,https://opentransitsoftwarefoundation.org/blog/,"ai, apps, Transit, travel, bus","android, java, golang, docker, ios"
2025,SageMath,Science and medicine,Open-source mathematics software system,https://www.sagemath.org,6,https://summerofcode.withgoogle.com/programs/2025/organizations/sagemath,mailto:tcscrims@gmail.com,https://groups.google.com/g/sage-gsoc,https://sagemath.zulipchat.com/,https://twitter.com/sagemath,,"mathematics, education, research","python, cython"
